Rank,Release Group,Worldwide,Domestic,%,Foreign,%
164,Sumikko Gurashi The Movie: The Magical Child Of The Blue Moonlit Night,"$9,735,732",-,-,"$9,735,732",100%
165,Black Box,"$9,604,206",-,-,"$9,604,206",100%
166,The Soul,"$9,600,000",-,-,"$9,600,000",100%
167,¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%
168,Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%
169,Ainbo,"$9,382,572",-,-,"$9,382,572",100%
170,The Worst Person in the World,"$9,108,370","$2,779,730",30.5%,"$6,328,640",69.5%
171,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
172,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
173,The Vault,"$8,808,878",-,-,"$8,808,878",100%
174,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
175,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
176,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
177,Delicious,"$8,401,119",-,-,"$8,401,119",100%
178,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
179,The Medium,"$8,357,445",-,-,"$8,357,445",100%
180,The Protégé,"$8,282,208","$7,446,823",89.9%,"$835,385",10.1%
181,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
182,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
183,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
184,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
185,Lost Illusions,"$7,800,858",-,-,"$7,800,858",100%
186,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
187,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
188,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%
189,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
190,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%
191,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
192,'83,"$7,351,061","$4,055,660",55.2%,"$3,295,401",44.8%
193,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
194,Contra,"$7,216,863",-,-,"$7,216,863",100%
195,Dear Tutu: Operation T-Rex,"$7,200,000",-,-,"$7,200,000",100%
196,Water Boys,"$7,200,000",-,-,"$7,200,000",100%
197,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
198,Sooryavanshi,"$6,984,082","$3,547,776",50.8%,"$3,436,306",49.2%
199,Extinct,"$6,926,445",-,-,"$6,926,445",100%
200,Are You Lonesome Tonight?,"$6,902,639",-,-,"$6,902,639",100%
